spp	day	fung	rep	status
X	3	B	25	0
Y	3	B	1	1
Y	3	B	2	0
Y	3	B	3	1
Y	3	B	4	0
Y	3	B	5	0
Y	3	B	6	0
Y	3	B	7	0
Y	3	B	8	1
Y	3	B	9	1
Y	3	B	10	0
Y	3	B	11	0
Y	3	B	12	1
Y	3	B	13	1
Y	3	B	14	1
Y	3	B	15	0
Y	3	B	16	0
Y	3	B	17	1
Y	3	B	18	0
Y	3	B	19	1
Y	3	B	20	0
Y	3	B	21	1
Y	3	B	22	1
Y	3	B	23	0
Y	3	B	24	0
Y	3	B	25	0
X	3	C	1	0
X	3	C	2	0
X	3	C	3	0
X	3	C	4	0
X	3	C	5	0
X	3	C	6	1
X	3	C	7	0
X	3	C	8	0
X	3	C	9	0
X	3	C	10	0
X	3	C	11	0
X	3	C	12	0
X	3	C	13	1
X	3	C	14	0
X	3	C	15	0
X	3	C	16	1
X	3	C	17	0
X	3	C	18	0
X	3	C	19	0
X	3	C	20	0
X	3	C	21	0
X	3	C	22	0
X	3	C	23	0
X	3	C	24	0
X	3	C	25	0
Y	3	C	1	1
Y	3	C	2	0
Y	3	C	3	0
Y	3	C	4	0
Y	3	C	5	0
Y	3	C	6	1
Y	3	C	7	0
Y	3	C	8	0
Y	3	C	9	1
Y	3	C	10	1
Y	3	C	11	0
Y	3	C	12	1
Y	3	C	13	0
Y	3	C	14	1
Y	3	C	15	0
Y	3	C	16	0
Y	3	C	17	0
Y	3	C	18	0
Y	3	C	19	0
Y	3	C	20	0
Y	3	C	21	0
Y	3	C	22	0
Y	3	C	23	1
Y	3	C	24	1
Y	3	C	25	0
X	3	D	1	1
X	3	D	2	1
X	3	D	3	1
X	3	D	4	0
X	3	D	5	0
X	3	D	6	0
X	3	D	7	0
X	3	D	8	0
X	3	D	9	1
X	3	D	10	1
X	3	D	11	0
X	3	D	12	0
X	3	D	13	1
X	3	D	14	0
X	3	D	15	1
X	3	D	16	1
X	3	D	17	0
X	3	D	18	1
X	3	D	19	0
X	3	D	20	0
X	3	D	21	0
X	3	D	22	0
X	3	D	23	1
X	3	D	24	1
X	3	D	25	0
Y	3	D	1	1
Y	3	D	2	0
Y	3	D	3	0
Y	3	D	4	1
Y	3	D	5	1
Y	3	D	6	1
Y	3	D	7	1
Y	3	D	8	0
Y	3	D	9	1
Y	3	D	10	1
Y	3	D	11	0
Y	3	D	12	0
Y	3	D	13	1
Y	3	D	14	0
Y	3	D	15	0
Y	3	D	16	0
Y	3	D	17	0
Y	3	D	18	0
Y	3	D	19	0
Y	3	D	20	0
Y	3	D	21	1
Y	3	D	22	1
Y	3	D	23	1
Y	3	D	24	1
Y	3	D	25	0
X	3	E	1	0
X	3	E	2	0
X	3	E	3	0
X	3	E	4	1
X	3	E	5	0
X	3	E	6	0
X	3	E	7	1
X	3	E	8	0
X	3	E	9	1
X	3	E	10	1
X	3	E	11	0
X	3	E	12	0
X	3	E	13	1
X	3	E	14	0
X	3	E	15	1
X	3	E	16	0
X	3	E	17	0
X	3	E	18	0
X	3	E	19	0
X	3	E	20	1
X	3	E	21	0
X	3	E	22	0
X	3	E	23	1
X	3	E	24	0
X	3	E	25	0
Y	3	E	1	0
Y	3	E	2	1
Y	3	E	3	1
Y	3	E	4	0
Y	3	E	5	0
Y	3	E	6	0
Y	3	E	7	1
Y	3	E	8	1
Y	3	E	9	0
Y	3	E	10	1
Y	3	E	11	1
Y	3	E	12	0
Y	3	E	13	1
Y	3	E	14	1
Y	3	E	15	0
Y	3	E	16	1
Y	3	E	17	0
Y	3	E	18	0
Y	3	E	19	1
Y	3	E	20	0
Y	3	E	21	0
Y	3	E	22	1
Y	3	E	23	1
Y	3	E	24	0
Y	3	E	25	1
X	4	test	1	1
X	4	test	2	1
X	4	test	3	1
X	4	test	4	1
X	4	test	5	1
X	4	test	6	1
X	4	test	7	1
X	4	test	8	1
X	4	test	9	0
X	4	test	10	1
X	4	test	11	1
X	4	test	12	1
X	4	test	13	1
X	4	test	14	0
X	4	test	15	0
X	4	test	16	1
X	4	test	17	1
X	4	test	18	1
X	4	test	19	0
X	4	test	20	1
X	4	test	21	0
