
iso	pop	rep	ss	fun	mw	dis
3J40	BL	1	1000	Bz	398.24	65.00
3J40	BL	1	100	Bz	398.24	23.20
3J40	BL	2	1000	Bz	398.24	65.00
3J40	BL	2	100	Bz	398.24	27.40
11H004	EX	1	1000	Bz	398.24	65.00
11H004	EX	1	100	Bz	398.24	44.50
11H004	EX	2	1000	Bz	398.24	65.00
11H004	EX	2	100	Bz	398.24	45.90
11H005	EX	1	1000	Bz	398.24	53.80
11H005	EX	1	100	Bz	398.24	51.80
11H005	EX	2	1000	Bz	398.24	65.00
11H005	EX	2	100	Bz	398.24	44.30
11H006	EX	1	1000	Bz	398.24	65.00
11H006	EX	1	100	Bz	398.24	38.10
11H006	EX	2	1000	Bz	398.24	65.00
11H006	EX	2	100	Bz	398.24	47.20
11H011	EX	1	1000	Bz	398.24	51.65
11H011	EX	2	1000	Bz	398.24	36.10
11H012	EX	1	1000	Bz	398.24	51.30
11H012	EX	1	100	Bz	398.24	21.30
11H012	EX	2	1000	Bz	398.24	65.00
11H012	EX	2	100	Bz	398.24	20.50
11H016	EX	1	1000	Bz	398.24	31.80
11H016	EX	2	1000	Bz	398.24	44.30
11H017	EX	1	1000	Bz	398.24	65.00
11H017	EX	1	100	Bz	398.24	15.00
11H017	EX	2	1000	Bz	398.24	28.70
11H017	EX	2	100	Bz	398.24	15.00
11H018	EX	1	1000	Bz	398.24	65.00
11H018	EX	1	100	Bz	398.24	40.50
11H018	EX	2	1000	Bz	398.24	65.00
11H018	EX	2	100	Bz	398.24	42.70
11H022	EX	1	1000	Bz	398.24	31.30
11H022	EX	2	1000	Bz	398.24	27.60
11H023	EX	1	1000	Bz	398.24	46.60
11H023	EX	1	100	Bz	398.24	23.80
11H023	EX	2	1000	Bz	398.24	65.00
11H023	EX	2	100	Bz	398.24	36.80
11H024	EX	1	1000	Bz	398.24	57.00
11H024	EX	1	100	Bz	398.24	25.90
11H024	EX	2	1000	Bz	398.24	65.00
11H024	EX	2	100	Bz	398.24	27.00
11H028	EX	1	1000	Bz	398.24	65.00
11H028	EX	1	100	Bz	398.24	58.10
11H028	EX	2	1000	Bz	398.24	65.00
11H028	EX	2	100	Bz	398.24	47.30
11H030	EX	1	1000	Bz	398.24	26.00
11H030	EX	2	1000	Bz	398.24	29.60
11H031	EX	1	1000	Bz	398.24	44.60
11H031	EX	1	100	Bz	398.24	23.40
11H031	EX	2	1000	Bz	398.24	65.00
11H031	EX	2	100	Bz	398.24	27.90
11H034	EX	1	1000	Bz	398.24	33.40
11H034	EX	2	1000	Bz	398.24	30.80
11H035	EX	1	1000	Bz	398.24	65.00
11H035	EX	1	100	Bz	398.24	17.00
11H035	EX	2	1000	Bz	398.24	65.00
11H035	EX	2	100	Bz	398.24	15.00
11H041	EX	1	1000	Bz	398.24	65.00
11H041	EX	1	100	Bz	398.24	48.70
11H041	EX	2	1000	Bz	398.24	65.00
11H041	EX	2	100	Bz	398.24	44.50
11H042	EX	1	1000	Bz	398.24	43.60
11H042	EX	1	100	Bz	398.24	28.20
11H042	EX	2	1000	Bz	398.24	65.00
11H042	EX	2	100	Bz	398.24	31.50
11H046	EX	1	1000	Bz	398.24	65.00
11H046	EX	1	100	Bz	398.24	18.00
11H046	EX	2	1000	Bz	398.24	65.00
11H046	EX	2	100	Bz	398.24	18.00
11H047	EX	1	1000	Bz	398.24	32.60
11H047	EX	2	1000	Bz	398.24	48.70
11H052	EX	1	1000	Bz	398.24	23.60
11H052	EX	1	100	Bz	398.24	18.00
11H052	EX	2	1000	Bz	398.24	65.00
11H052	EX	2	100	Bz	398.24	15.00
